place_id,6.9.2020,formatted_address,name
ChIJaS8Gee91-4gRTDtNGsvmGMk,OPERATIONAL,"1300 E 66th St, Savannah, GA 31404, USA",Bright Horizons Little One Learning Center
ChIJT1143pse6IkRPlvGNIjgWTM,OPERATIONAL,"60 Gregory Blvd, Norwalk, CT 06855, USA",Bright Horizons
ChIJVeBuMOh16IkRZMAn2bVlUYU,CLOSED_TEMPORARILY,"284 Silver Brook Rd, Orange, CT 06477, USA",Bright Horizons at Orange
ChIJbSoh35XpJIgRLRlM3fw3z_8,OPERATIONAL,"871 Oakwood Dr, Rochester, MI 48307, USA",Children's Choice Learning Center at Crittenton
ChIJn_7Hcg6-JIgR37Ridsawubg,OPERATIONAL,"1200 N. Telegraph Building 30 East, Pontiac, MI 48341, USA",Little Oaks Child Development Center
ChIJ3fhAoKCahYARR0YVdcW4cuk,CLOSED_TEMPORARILY,"360 E Blithedale Ave, Mill Valley, CA 94941, USA",Bright Horizons EDS Park School
ChIJncK2VCqHhYAR7JiPLgyTF9A,OPERATIONAL,"Bright Horizons Family Solutions, #1 Letterman Drive, Building B, San Francisco, CA 94129, USA",Letterman Digital Arts Child Care Center
ChIJt0PXD0gU9YgRFHjWFLHOyWQ,OPERATIONAL,"84 Lacy St NW, Marietta, GA 30060, USA",The Learning Academy at Wellstar
ChIJAcLk_4MD9YgRgMX8MymIYs8,OPERATIONAL,"100 Lower Alabama Street, Atlanta, GA 30303, USA",Atlanta Federal Center Child
ChIJDQlFCVsE9YgRx0g61HynRW8,OPERATIONAL,"1230 W Peachtree St NW, Atlanta, GA 30309, USA",The Treehouse Children's Center
ChIJs1sxMYgQ9YgRwIgmR2cVXDA,OPERATIONAL,"2455 Paces Ferry Rd SE, Atlanta, GA 30339, USA",Little Apron Academy
ChIJneVpr__Lj4ARJ0Sy2nMPC18,CLOSED_TEMPORARILY,"4945 Stevens Creek Blvd, Santa Clara, CA 95051, USA",Bright Horizons on Stevens Creek
ChIJ-_PXZKlQwokRfehTjsu1v_U,OPERATIONAL,"150 Exchange Pl, Jersey City, NJ 07302, USA",Bright Horizons At Exchange Pl/Hyatt
ChIJ2WrktLssDogRUvYQJ2mP6Xs,CLOSED_TEMPORARILY,"33 N LaSalle St, Chicago, IL 60602, USA",Bright Horizons
ChIJ76yUNMcsDogRtO9Q_PBuS7Q,OPERATIONAL,"500 W Monroe St, Chicago, IL 60661, USA",Bright Horizons Chicago West
